"Status","Exposure.Location","Street","Suburb","Date","Arrival.Time","Departure.Time","Contact","lat","lon","doubles","moved"
"","Billini Shoes","Canberra Centre, 148 Bunda Street","Canberra City","05/10/2021 - Tuesday","9:00am","5:30pm","Casual",-35.2802938,149.1332387,"",FALSE
"","Erindale Healthcare","Corner Comrie Street and McBryde Crescent","Wanniassa","05/10/2021 - Tuesday","10:25am","11:30am","Casual",-35.4047006,149.0993771,"",FALSE
"","Family First General Practice","1 Clare Burton Crescent","Franklin","05/10/2021 - Tuesday","3:40pm","5:30pm","Casual",-35.199646,149.148793,"",FALSE
"","Friendly Grocer Hughes","16 Hughes Place","Hughes","05/10/2021 - Tuesday","9:30am","3:30pm","Casual",-35.3335607,149.0936634,"",FALSE
"","KFC Gungahlin","30 Ernest Cavanagh Street","Gungahlin","05/10/2021 - Tuesday","4:00pm","9:30pm","Casual",-35.1842086,149.1323939,"",FALSE
"","Ochre Health Medical Centre Tuggeranong","237/140 Anketell Street","Greenway","05/10/2021 - Tuesday","4:45pm","5:30pm","Casual",-35.4137415,149.0659801,"",FALSE
"","Taylor Apartments Construction Site (Block A only)","78 Margules Crescent","Taylor","05/10/2021 - Tuesday","7:00am","3:30pm","Casual",-35.1512835,149.1081486,"",FALSE
"","Woolworths Kambah","Kambah Village Shopping Centre, Primmer Court","Kambah","05/10/2021 - Tuesday","2:05pm","3:00pm","Casual",-35.3801801,149.0573197,"",FALSE
"","Woolworths Kippax","Kippax Fair Shopping Centre, 26 Hardwick Crescent","Holt","05/10/2021 - Tuesday","8:30am","9:15am","Casual",-35.2218013,149.0193613,"",FALSE
"","Woolworths Kippax","Kippax Fair Shopping Centre, 26 Hardwick Crescent","Holt","05/10/2021 - Tuesday","11:00am","11:45am","Casual",-35.2218013,149.0194363,"",FALSE
"","Woolworths Metro Cameron Avenue","1/6 Grazier Lane","Belconnen","05/10/2021 - Tuesday","7:00am","3:15pm","Casual",-35.2401725,149.0719563,"",FALSE
"","Woolworths Woden","Westfield Woden, Keltie Street","Phillip","05/10/2021 - Tuesday","11:50am","12:40pm","Casual",-35.3463199,149.0861076,"",FALSE
"","Renaissance Apartments Construction Site (Morris Group Builders)","Light Street","Griffith","05/10/2021 - Tuesday","7:30am","5:00pm","Casual",-35.3079683,149.1363537,"",FALSE
"","ALDI Belconnen","Westfield Belconnen, Benjamin Way","Belconnen","04/10/2021 - Monday","12:45pm","1:45pm","Casual",-35.2380765,149.0649922,"",FALSE
"","Coles Belconnen","Westfield Belconnen, Benjamin Way","Belconnen","04/10/2021 - Monday","2:40pm","3:30pm","Casual",-35.237949,149.064912,"",FALSE
"","Friendly Grocer Narrabundah","6 Iluka Street","Narrabundah","04/10/2021 - Monday","9:00am","11:30am","Casual",-35.3325783,149.1539484,"",FALSE
"","KFC Gungahlin","30 Ernest Cavanagh Street","Gungahlin","04/10/2021 - Monday","4:30pm","9:30pm","Casual",-35.1842086,149.1323439,"",FALSE
"","SUPABARN Crace","56 Abena Avenue","Crace","04/10/2021 - Monday","11:20am","12:30pm","Casual",-35.2020605,149.1075507,"",FALSE
"","Woolworths Belconnen","Westfield Belconnen, Benjamin Way","Belconnen","04/10/2021 - Monday","3:00pm","4:00pm","Casual",-35.2386596,149.0652762,"",FALSE
"","Woolworths Erindale","Erindale Shopping Centre, 50-68 Comrie Street","Wanniassa","04/10/2021 - Monday","6:00am","11:40am","Casual",-35.4035739,149.098702,"",FALSE
