"Status","Exposure.Location","Street","Suburb","Date","Arrival.Time","Departure.Time","Contact","lat","lon","doubles","moved"
"","Priceline Pharmacy Amaroo","6 Pioneer Street","Amaroo","12/09/2021 - Sunday","11:15am","12:00pm","Monitor",-35.164779,149.1324158,"",FALSE
"","Capital Chemist Charnwood","Charnwood Shopping Centre, Lhotsky Street","Charnwood","12/09/2021 - Sunday","1:30pm","2:15pm","Monitor",-35.2045044,149.033648,"",FALSE
"","Tuggeranong Discount Drug Store","17 Anketell Street","Greenway","12/09/2021 - Sunday","3:15pm","3:55pm","Monitor",-35.4168087,149.0679445,"",FALSE
"","Coles Manuka","Franklin Street and Flinders Way","Griffith","12/09/2021 - Sunday","2:20pm","3:10pm","Monitor",-35.3210247,149.1342946,"",FALSE
"","Narrabundah Friendly Grocer","6 Iluka Street","Narrabundah","12/09/2021 - Sunday","6:00pm","6:45pm","Casual",-35.3325783,149.1540484,"",FALSE
"","Narrabundah Friendly Grocer","6 Iluka Street","Narrabundah","12/09/2021 - Sunday","7:45pm","8:30pm","Casual",-35.3325783,149.1539984,"",FALSE
"","SupaExpress Kaleen","8 Gwydir Square, Maribyrnong Avenue","Kaleen","12/09/2021 - Sunday","1:30pm","2:30pm","Casual",-35.2337993,149.1029054,"",FALSE
"","Woolworths Gungahlin","30/33 Hibberson Street","Gungahlin","12/09/2021 - Sunday","3:35pm","4:15pm","Monitor",-35.1846274,149.1339391,"",FALSE
"New","Ms Ba Co Majura Park","Majura Park Shopping Centre, 18/16 Spitfire Avenue","Canberra Airport","12/09/2021 - Sunday","3:40pm","4:20pm","Monitor",-35.3001906,149.1904008,"",FALSE
"New","Costco Canberra","39-41 Mustang Avenue","Canberra Airport","12/09/2021 - Sunday","1:45pm","3:15pm","Casual",-35.2972375,149.1905839,"",FALSE
"New","Woolworths Majura Park","Majura Park Shopping Centre, 18/16 Spitfire Avenue","Canberra Airport","12/09/2021 - Sunday","2:45pm","3:50pm","Casual",-35.3001906,149.1903508,"",FALSE
"New","Jim Murphy's Airport Cellars","7 Mustang Avenue","Canberra Airport","12/09/2021 - Sunday","3:15pm","4:15pm","Casual",-35.295124,149.191092,"",FALSE
"New","IGA X-press East Row","22-58 East Row","Canberra City","12/09/2021 - Sunday","7:00pm","8:00pm","Monitor",-35.2791945,149.1306437,"",FALSE
"New","Bus Route 4 Transport Canberra Code BUS446","Woden Interchange to City Interchange","Public Transport","12/09/2021 - Sunday","12:28am","12:42am","Casual",-35.3444429,149.0872692,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"","Coles Express Manuka","Canberra Avenue and Flinders Way","Griffith","11/09/2021 - Saturday","6:52am","7:00am","Monitor",-35.3200444,149.1343035,"",FALSE
"","Coles Manuka","Franklin Street and Flinders Way","Griffith","11/09/2021 - Saturday","9:25am","10:05am","Monitor",-35.3210247,149.1342446,"",FALSE
"","Woolworths Dickson","1 Dickson Place","Dickson","11/09/2021 - Saturday","11:50am","12:40pm","Monitor",-35.249974,149.1386501,"",FALSE
"","Coffee Guru Casey","Casey Market, 15 Kingsland Parade","Casey","11/09/2021 - Saturday","2:05pm","2:45pm","Monitor",-35.1745939,149.0953225,"",FALSE
"","Casey Market Town","15 Kingsland Parade","Casey","11/09/2021 - Saturday","2:00pm","2:50pm","Monitor",-35.17447,149.0959449,"",FALSE
"","Bus Route 10 Transport Canberra Code BUS561","City West to Denman Prospect","Public Transport","11/09/2021 - Saturday","5:23pm","5:53pm","Casual",-35.279095,149.125559,"",FALSE
"","Bus Route 10 Transport Canberra Code BUS561","Denman Prospect to City West","Public Transport","11/09/2021 - Saturday","6:03pm","6:28pm","Casual",-35.2784467,149.1304044,"",FALSE
"","Bus Route 10 Transport Canberra Code BUS561","City West to Denman Prospect","Public Transport","11/09/2021 - Saturday","6:53pm","7:23pm","Casual",-35.279095,149.125509,"",FALSE
"","Bus Route 10 Transport Canberra Code BUS561","Denman Prospect to City West","Public Transport","11/09/2021 - Saturday","7:33pm","7:58pm","Casual",-35.2784467,149.1303794,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"","Bus Route 5 Transport Canberra Code BUS561","City West to Lanyon Marketplace","Public Transport","11/09/2021 - Saturday","11:07pm","11:54pm","Casual",-35.2784467,149.1302794,"",FALSE
"","Bus Route 6 Transport Canberra Code BUS561","Woden Interchange to City West","Public Transport","11/09/2021 - Saturday","4:23pm","5:07pm","Casual",-35.3444429,149.0872942,"",FALSE
"","Bus Route 63 Transport Canberra Code BUS561","Woden Interchange to Cooleman Court","Public Transport","11/09/2021 - Saturday","9:35pm","9:59pm","Casual",-35.3444429,149.0872192,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"","Bus Route 66 Transport Canberra Code BUS561","Cooleman Court to Woden Interchange","Public Transport","11/09/2021 - Saturday","10:04pm","10:47pm","Casual",-35.3444429,149.0871942,"",FALSE
"","Bus Route 7 Transport Canberra Code BUS561","City West to Weston Creek","Public Transport","11/09/2021 - Saturday","8:07pm","8:35pm","Casual",-35.2784467,149.1303544,"",FALSE
"","Coles Amaroo","Horse Park Drive","Amaroo","11/09/2021 - Saturday","1:25pm","2:00pm","Monitor",-35.1646128,149.1317566,"",FALSE
"","Grill'd Belconnen","Westfield Belconnen, Benjamin Way","Belconnen","11/09/2021 - Saturday","5:20pm","6:15pm","Casual",-35.2380765,149.0650672,"",FALSE
"","7-Eleven Casey","10 Kingsland Parade","Casey","11/09/2021 - Saturday","3:35pm","4:15pm","Monitor",-35.175773,149.0957326,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"","B&B Emporium Casey","Casey Market Town, 15 Kingsland Parade","Casey","11/09/2021 - Saturday","2:05pm","2:45pm","Monitor",-35.17447,149.0959199,"",FALSE
"","Coles Canberra Centre","Canberra Centre, 148 Bunda Street","Canberra City","11/09/2021 - Saturday","4:30pm","5:50pm","Casual",-35.2802271,149.1332559,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"","ALDI Amaroo","12 Pioneer Street","Amaroo","11/09/2021 - Saturday","10:30am","11:00am","Casual",-35.1652442,149.132482,"",FALSE
"","Amaroo Village Shopping Centre","Horsepark Drive","Amaroo","11/09/2021 - Saturday","1:25pm","2:00pm","Monitor",-35.1646128,149.1317816,"",FALSE
"","BWS Wanniassa","10-17 Sangster Place","Wanniassa","11/09/2021 - Saturday","1:50pm","2:40pm","Monitor",-35.3909032,149.0855739,"",FALSE
"","Capital Chemist Mawson","Southlands Shopping Centre, 2 Birmingham Road","Mawson","11/09/2021 - Saturday","12:35pm","1:45pm","Casual",-35.365432,149.0942628,"",FALSE
"","Coles Amaroo","Horse Park Drive","Amaroo","11/09/2021 - Saturday","1:20pm","1:40pm","Monitor",-35.1646128,149.1318816,"",FALSE
